"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"189172.html","away","200","28","58","4","13","19","24","7","31","10","7","11","5"
"189172.html","home","200","25","66","9","25","11","13","8","23","18","4","12","5"
"189173.html","away","200","27","59","4","16","10","15","7","30","19","8","16","3"
"189173.html","home","200","24","68","10","35","5","13","13","24","19","9","16","2"
"189174.html","away","200","12","50","0","12","7","12","7","15","10","4","26","6"
"189174.html","home","200","43","85","9","25","5","10","22","29","17","19","10","8"
"189175.html","away","200","19","61","5","22","11","17","3","25","12","8","16","6"
"189175.html","home","200","35","76","16","40","9","12","11","36","18","10","12","3"
"189176.html","away","200","22","58","4","16","10","13","7","27","8","6","10","5"
"189176.html","home","200","22","57","9","31","3","8","5","30","15","6","11","2"
"189177.html","away","200","30","58","8","20","13","21","9","36","16","4","14","2"
"189177.html","home","200","20","62","6","29","8","13","4","22","14","6","11","0"
"189178.html","away","200","28","62","5","15","3","4","3","19","17","5","11","0"
"189178.html","home","200","27","49","8","18","10","19","7","26","13","7","19","1"
"189179.html","away","200","18","48","4","17","7","15","8","19","20","4","22","1"
"189179.html","home","200","35","64","17","37","14","19","10","21","12","12","7","1"
"189180.html","away","200","24","75","14","35","17","21","14","25","23","11","9","0"
"189180.html","home","200","27","57","7","18","27","34","8","36","18","3","16","8"
"189181.html","away","200","24","65","6","22","4","4","9","15","24","12","10","1"
"189181.html","home","200","23","46","5","18","16","24","10","27","13","5","23","8"
"189182.html","away","200","21","63","7","19","3","8","10","23","22","6","11","4"
"189182.html","home","200","21","55","3","18","20","24","12","29","13","6","11","12"
"189183.html","away","200","22","50","9","30","18","25","4","24","19","9","10","2"
"189183.html","home","200","20","53","2","16","19","24","8","24","19","1","13","2"
"189184.html","away","200","22","48","5","14","10","14","7","22","21","4","21","4"
"189184.html","home","200","24","54","7","18","15","28","11","19","17","10","12","4"
"189185.html","away","200","29","61","8","25","13","17","11","19","18","5","10","2"
"189185.html","home","200","28","51","11","19","17","22","5","22","19","5","10","3"
"189186.html","away","200","22","60","6","23","11","16","10","22","17","0","26","4"
"189186.html","home","200","47","91","2","18","10","16","23","29","18","14","9","9"
"189187.html","away","200","28","71","9","26","16","23","8","25","16","6","16","4"
"189187.html","home","200","34","78","9","29","18","26","13","34","21","10","16","4"
"189188.html","away","200","22","54","5","18","8","13","9","18","27","12","19","4"
"189188.html","home","200","19","42","6","16","18","26","6","21","16","8","20","0"
"189189.html","away","200","26","62","4","18","4","4","6","22","25","6","16","3"
"189189.html","home","200","26","56","8","25","27","32","7","24","8","9","12","4"
"189190.html","away","200","10","46","5","22","9","20","8","15","13","3","17","5"
"189190.html","home","200","37","67","6","17","9","10","10","29","17","6","7","0"
"189191.html","away","200","29","64","4","13","21","30","16","30","21","5","17","0"
"189191.html","home","200","27","61","8","19","9","16","6","17","23","4","11","0"
"189192.html","away","200","24","63","8","32","6","13","8","24","19","5","9","3"
"189192.html","home","200","27","59","10","26","10","19","10","30","12","5","10","2"
"189193.html","away","200","21","80","4","30","3","6","7","19","16","9","17","6"
"189193.html","home","200","57","90","17","34","12","13","10","51","14","6","11","3"
"189194.html","away","200","24","53","7","15","12","17","5","24","15","8","20","11"
"189194.html","home","200","23","65","8","21","10","12","9","22","16","6","17","4"
"189195.html","away","200","11","58","2","26","3","10","6","17","8","5","12","3"
"189195.html","home","200","30","65","8","22","8","13","16","44","14","7","14","9"
"189196.html","away","200","23","58","5","13","12","18","8","23","26","3","15","0"
"189196.html","home","200","23","49","3","10","28","37","4","26","20","8","12","4"
"189198.html","away","200","23","56","13","28","6","9","8","18","12","11","16","3"
"189198.html","home","200","30","61","10","20","6","10","16","24","13","8","20","2"
"189199.html","away","200","21","47","8","17","20","35","9","22","25","6","19","5"
"189199.html","home","200","31","64","4","13","15","26","13","22","26","11","16","3"
"189201.html","away","200","24","60","6","15","17","22","8","31","15","6","9","3"
"189201.html","home","200","25","63","8","32","4","12","8","23","20","3","13","5"
"189202.html","away","200","24","59","5","18","11","20","6","26","28","4","18","1"
"189202.html","home","200","30","65","11","30","20","33","10","28","19","9","12","2"
"189203.html","away","200","27","65","11","24","10","13","16","16","19","11","17","5"
"189203.html","home","200","28","56","4","16","10","18","13","21","12","7","20","8"
"189204.html","away","200","23","59","6","31","22","32","8","36","23","2","15","5"
"189204.html","home","200","24","68","3","17","15","22","9","28","24","10","10","0"
"189206.html","away","200","18","49","3","16","12","23","7","19","18","5","8","2"
"189206.html","home","200","19","50","6","22","14","17","9","29","21","3","13","2"
"189207.html","away","200","28","73","12","36","10","14","4","22","20","10","11","3"
"189207.html","home","200","33","66","8","22","15","20","13","37","16","7","19","6"
"189208.html","away","200","21","62","11","30","4","8","7","20","21","6","14","1"
"189208.html","home","200","31","54","8","22","22","25","5","34","12","5","11","5"
"189209.html","away","200","17","57","3","17","7","10","5","19","19","5","20","5"
"189209.html","home","200","28","59","7","19","16","22","9","30","15","9","15","4"
"189210.html","away","200","22","58","4","13","14","24","5","28","20","7","9","1"
"189210.html","home","200","26","61","9","32","15","22","8","28","17","5","9","6"
"189211.html","away","200","19","56","6","19","6","12","8","19","14","5","12","0"
"189211.html","home","200","31","61","13","27","13","19","12","31","15","5","11","2"
"189214.html","away","200","17","48","6","15","21","26","8","20","20","2","11","3"
"189214.html","home","200","28","58","15","37","18","21","6","18","22","8","4","7"
"189215.html","away","200","33","58","11","23","14","20","12","24","21","6","16","0"
"189215.html","home","200","27","51","9","15","13","23","6","17","20","6","19","3"
"189216.html","away","202","24","57","2","11","9","14","10","24","32","5","22","4"
"189216.html","home","200","21","55","9","30","20","32","12","23","17","7","14","2"
"189218.html","away","200","23","56","2","10","15","18","7","23","17","6","14","4"
"189218.html","home","200","35","69","11","25","10","14","10","24","16","7","8","1"
"189219.html","away","232","30","60","8","20","12","24","4","32","19","6","13","2"
"189219.html","home","200","21","50","6","17","12","16","6","26","17","8","10","1"
"189220.html","away","200","26","56","10","22","21","26","5","27","23","2","12","1"
"189220.html","home","200","30","65","11","28","16","25","11","26","18","7","9","2"
"189221.html","away","210","20","56","7","25","10","16","10","31","25","2","19","6"
"189221.html","home","203","24","65","7","32","20","32","13","26","16","14","6","4"
"189222.html","away","250","31","76","4","23","13","21","13","40","23","7","16","7"
"189222.html","home","250","27","73","5","26","19","29","8","32","17","9","13","5"
"189223.html","away","200","21","51","8","16","24","32","5","12","22","7","9","5"
"189223.html","home","199","30","60","3","14","22","30","14","23","22","4","10","4"
"189224.html","away","200","27","61","8","28","10","13","6","26","16","5","15","1"
"189224.html","home","200","26","57","5","12","16","19","5","28","16","6","14","5"
"189225.html","away","200","26","59","5","16","23","30","12","24","28","7","19","2"
"189225.html","home","200","25","53","10","26","24","29","5","17","22","9","15","4"
"189226.html","away","200","35","75","6","18","12","20","17","30","18","8","13","4"
